ANIO;MES;CuerpoReceptor;Planta;Parametro;Tabla;Latitud;Longitud;Valor reportado;Umbral;diferencia_umbral;% diferencia_umbral
2017;1;BAHIA MEJILLONES;CENTRAL A GAS CICLO COMBINADO KELAR;Molibdeno;Tabla 5;-23.0606264;-70.325548;0.353;0.5;-0.14700000000000002;-29.4
2017;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Cobre;Tabla 4;-23.087606;-70.408082;0.05;1.0;-0.95;-95.0
2017;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Hierro Disuelto;Tabla 4;-23.087606;-70.408082;1.32;10.0;-8.68;-86.8
2017;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Mercurio;Tabla 4;-23.087606;-70.408082;0.001;0.005;-0.004;-80.0
2017;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Molibdeno;Tabla 4;-23.087606;-70.408082;0.01;0.1;-0.09000000000000001;-90.0
2017;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2017;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Hierro Disuelto;Tabla 4;-23.025082;-70.320068;0.078;10.0;-9.922;-99.2
2017;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;26.7;30.0;-3.3000000000000007;-11.0
2017;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Cobre;Tabla 4;-23.064;-70.3703;0.044;1.0;-0.956;-95.6
2017;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Molibdeno;Tabla 4;-23.064;-70.3703;0.007;0.1;-0.093;-93.0
2017;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Temperatura;Tabla 4;-23.064;-70.3703;26.7;30.0;-3.3000000000000007;-11.0
2017;1;BAHIA MEJILLONES;CENTRAL TÉRMICA MEJILLONES;Temperatura;Tabla 4;-23.0888801931207;-70.4113941036642;28.5;30.0;-1.5;-5.0
2017;1;BAHÍA ALGODONALES;CENTRAL TERMICA TOCOPILLA;Hierro Disuelto;Tabla 4;-22.1019166516864;-70.2143131571211;1.01;10.0;-8.99;-89.9
2017;1;BAHÍA ALGODONALES;CENTRAL TERMICA TOCOPILLA;Molibdeno;Tabla 4;-22.1019166516864;-70.2143131571211;0.07;0.1;-0.03;-30.0
