ANIO;MES;CuerpoReceptor;Planta;Parametro;Tabla;Latitud;Longitud;Valor reportado;Umbral;diferencia_umbral;% diferencia_umbral
2019;11;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;34.1;30.0;4.100000000000001;13.7
2020;2;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;32.6;30.0;2.6000000000000014;8.7
2019;6;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;32.3;30.0;2.299999999999997;7.7
2020;5;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;31.0;30.0;1.0;3.3
2017;11;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;30.4;30.0;0.3999999999999986;1.3
2019;8;BAHÍA QUINTERO;CENTRAL TERMOELECTRICA CAMPICHE;Temperatura;Tabla 4;-32.7494;-71.4833;30.09;30.0;0.08999999999999986;0.3
2020;11;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;30.0;30.0;0.0;0.0
2019;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;30.0;30.0;0.0;0.0
2017;2;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;30.0;30.0;0.0;0.0
2018;8;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2018;7;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2018;12;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2019;2;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2019;4;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2018;9;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2017;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2022;2;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.9;30.0;-0.10000000000000142;-0.3
2017;12;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;29.8;30.0;-0.1999999999999993;-0.7
2017;12;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.8;30.0;-0.1999999999999993;-0.7
2020;12;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.8;30.0;-0.1999999999999993;-0.7
2017;11;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Temperatura;Tabla 4;-23.064;-70.3703;29.8;30.0;-0.1999999999999993;-0.7
2019;6;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;29.7;30.0;-0.3000000000000007;-1.0
2018;10;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.7;30.0;-0.3000000000000007;-1.0
2018;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.7;30.0;-0.3000000000000007;-1.0
2018;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Temperatura;Tabla 4;-23.064;-70.3703;29.7;30.0;-0.3000000000000007;-1.0
2019;5;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;29.7;30.0;-0.3000000000000007;-1.0
2019;8;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;29.7;30.0;-0.3000000000000007;-1.0
2018;2;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Temperatura;Tabla 4;-23.064;-70.3703;29.7;30.0;-0.3000000000000007;-1.0
2021;10;BAHIA MEJILLONES;CENTRAL TÉRMICA MEJILLONES;Temperatura;Tabla 4;-23.0888801931207;-70.4113941036642;29.6;30.0;-0.3999999999999986;-1.3
2021;9;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.6;30.0;-0.3999999999999986;-1.3
2020;1;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.6;30.0;-0.3999999999999986;-1.3
2022;4;BAHIA MEJILLONES;CENTRAL TÉRMICA MEJILLONES;Temperatura;Tabla 4;-23.0888801931207;-70.4113941036642;29.6;30.0;-0.3999999999999986;-1.3
2021;5;BAHIA MEJILLONES;CENTRAL TÉRMICA MEJILLONES;Temperatura;Tabla 4;-23.0888801931207;-70.4113941036642;29.6;30.0;-0.3999999999999986;-1.3
2019;2;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Temperatura;Tabla 4;-32.7494;-71.4833;29.6;30.0;-0.3999999999999986;-1.3
2019;10;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Temperatura;Tabla 4;-23.064;-70.3703;29.6;30.0;-0.3999999999999986;-1.3
2019;12;BAHÍA QUINTERO;CENTRAL TERMOELECTRICA CAMPICHE;Temperatura;Tabla 4;-32.7494;-71.4833;29.6;30.0;-0.3999999999999986;-1.3
2018;6;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.6;30.0;-0.3999999999999986;-1.3
2022;3;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.5;30.0;-0.5;-1.7
2019;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA COCHRANE;Temperatura;Tabla 4;-23.064;-70.3703;29.5;30.0;-0.5;-1.7
2018;10;BAHÍA QUINTERO;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;Temperatura;Tabla 4;-32.7494;-71.4833;29.5;30.0;-0.5;-1.7
2020;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;29.5;30.0;-0.5;-1.7
2020;2;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.5;30.0;-0.5;-1.7
2021;1;BAHIA MEJILLONES;CENTRAL TERMOELÉCTRICA ANGAMOS;Temperatura;Tabla 4;-23.025082;-70.320068;29.5;30.0;-0.5;-1.7
2017;3;BAHÍA QUINTERO;CENTRAL TERMOELECTRICA CAMPICHE;Temperatura;Tabla 4;-32.7494;-71.4833;29.4;30.0;-0.6000000000000014;-2.0
2020;4;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.4;30.0;-0.6000000000000014;-2.0
2020;3;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.4;30.0;-0.6000000000000014;-2.0
2021;3;BAHIA MEJILLONES;CENTRAL TERMICA ANDINA;Temperatura;Tabla 4;-23.087606;-70.408082;29.4;30.0;-0.6000000000000014;-2.0
2020;7;BAHIA MEJILLONES;CENTRAL TÉRMICA MEJILLONES;Temperatura;Tabla 4;-23.0888801931207;-70.4113941036642;29.4;30.0;-0.6000000000000014;-2.0
